Maker,Total_Sales_2015_2024
OLA ELECTRIC TECHNOLOGIES PVT LTD,588266
TVS MOTOR COMPANY LTD,318445
ATHER ENERGY PVT LTD,236387
HERO ELECTRIC VEHICLES PVT. LTD,201785
BAJAJ AUTO LTD,198498
OKINAWA AUTOTECH PVT LTD,196182
YC ELECTRIC VEHICLE,152951
AMPERE VEHICLES PRIVATE LIMITED,141805
SAERA ELECTRIC AUTO PVT LTD,87481
MAHINDRA & MAHINDRA LIMITED,84794
TATA PASSENGER ELECTRIC MOBILITY LTD,74410
DILLI ELECTRIC AUTO PVT LTD,69966
OTHERS,68108
CHAMPION POLY PLAST,53493
TATA MOTORS PASSENGER VEHICLES LTD,52520
MAHINDRA LAST MILE MOBILITY LTD,46534
MINI METRO EV L.L.P,44250
PIAGGIO VEHICLES PVT LTD,43783
GREAVES ELECTRIC MOBILITY PVT LTD,42879
UNIQUE INTERNATIONAL,41615
PUR ENERGY PVT LTD,37051
J. S. AUTO (P) LTD,36707
ENERGY ELECTRIC VEHICLES,35821
TERRA MOTORS INDIA PVT LTD,34887
MAHINDRA ELECTRIC MOBILITY LIMITED,34807
REVOLT INTELLICORP PVT LTD,33818
THUKRAL ELECTRIC BIKES PVT LTD,32845
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,32106
HERO MOTOCORP LTD,31489
BEST WAY AGENCIES PVT LTD,30985
VANI ELECTRIC VEHICLES PVT LTD,30809
ALLFINE INDUSTRIES PVT LTD,29243
OKAYA EV PVT LTD,29116
HOTAGE INDIA,28893
LECTRIX EV PVT LTD,27821
SKS TRADE INDIA PVT LTD,27494
BGAUSS AUTO PRIVATE LIMITED,24148
MG MOTOR INDIA PVT LTD,23343
KHALSA E-VEHICLES PVT LTD,22263
G.K. RICKSHAW,22111
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,21862
TATA MOTORS LTD,20504
M/S SHRIRAM AUTO TECH PVT LTD,15910
SPEEGO VEHICLES CO PVT LTD,15773
VICTORY ELECTRIC INTERNATIONAL,15735
MAA SHAKTI EXIM PVT LTD,15717
JITENDRA NEW EV-TECH PVT. LTD,15543
ATUL AUTO LTD,14988
HOOGHLY MOTORS PVT LTD,14893
OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,14595
WARDWIZARD INNOVATIONS & MOBILITY LIMITED,14410
BRIGHT AUTOZONE PVT LTD,13443
DAKSH INDUSTRIES,13176
GRD MOTORS,12499
ZENIAK INNOVATION INDIA LTD,12261
SAHNIANAND E VEHICLES PVT LTD,11995
OMEGA SEIKI PVT LTD,11614
SHRI BARSANA E-VEHICLES PVT LTD,11364
ARROW AUTOMOTIVE,11228
KLB KOMAKI PVT LTD,11168
GOREEN E-MOBILITY PVT LTD,10839
TWO FRIENDS AUTO ELECTRIC CO,10431
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,10355
BOUNCE ELECTRIC 1 PVT LTD,9677
U.P. TELELINKS LIMITED,9309
VIJAYS COOLMAX PRIVATE LIMITED,9279
UNIQUE ENTERPRISES,8834
HERO ELECTRIC VEHICLE PVT LTD,8338
AVL ELECTRIC VEHICLES PVT LTD,8309
DELTA AUTOCORP LLP,8139
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,7948
TOP TEAM MACHINES PVT LTD,7840
SATHI MOTORS ELECTRIC VEHICLE PVT LTD,7641
ZEOPLUS AXIS INDIA PVT. LTD.,7523
SHRIRAJ ELECTRIC VEHICLES,7502
GAYATRI ELECTRIC VEHICLES,6878
ALTIER ELECTRIC VEHICLES PVT LTD,6814
T U K INDUSTRIES,6667
STAR BULL E MOTORS,6664
KAPTECH INDIA PVT LTD,6628
LOHIA AUTO INDUSTRIES,6533
SSB INDISTRIES,6530
PARAS INDUSTRIES,6513
BATTRE ELECTRIC MOBLITY PVT LTD,6491
BHAVE ELECTRIC VEHICLES PVT LTD,6252
AMBIKA INDUSTRIES,6193
MOVE STONE SERVICES PVT LTD,6087
ATUT SANGAM,6067
EULER MOTORS PVT LTD,5732
PUBANG ETRON ELECTRIC MOTOR PVT LTD,5616
QUANTUM ENERGY LTD.,5576
EXIDE INDUSTRIES LTD,5547
REEP INDUSTRIES PVT LTD,5494
NEW ARCANA INDIA,5455
MEW ELECTRICALS LIMITED,5315
KUMAR ENGINEERING,5200
A.V.AUTOMOTIVES PVT LTD,5132
SUPERTECH EV LIMITED,5117
INDIAN MOTORS,5061
SRD RENEWABLES,5045
CHETAK TECHNOLOGY LIMITED,4855
GOPAL AUTO MOTORS PVT LTD,4836
NIC TEST ACCOUNT-1,4792
G & G AUTOMOTIVE,4735
BHM INDUSTRIES,4698
MANITA CITY MOTORS LLP,4678
CEEON INDIA,4600
JAJODIA COMMODITIES PVT LTD,4543
ATTOLENT AUTO GROUP PVT LTD,4504
OM RAJ AUTOTECH LLP,4475
DYS IMPEX PRIVATE LIMITED,4458
M/S CHAMPION POLY PLAST,4435
TI CLEAN MOBILITY PVT LTD,4413
TWINKLE TRADCOM PVT LTD,4360
SHIGAN EVOLTZ LTD,4346
ALTIGREEN PROPULSION LABS PVT LTD,4312
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,4293
Y.C.ELECTRIC VEHICLE,4218
KRISHNA ENGINEERING WORKS,4077
HINDUSTAN MOTOR CORPORATION,4055
HUNDAL INDUSTRIES,3984
M.K. ENTERPRISES,3967
DE EUSI MOTORS PVT LTD.,3909
CONTINENTAL ENGINES PVT LTD,3909
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,3892
BYD INDIA PRIVATE LIMITED,3868
TRISHIKA INDUSTRIES,3819
DAVE EXIM PVT LTD,3798
BIG BULL TRADER PVT LTD,3729
GKON ELECTRIC MOTOR VEHICLES PVT LTD,3727
E ROYCE MOTORS INDIA PVT LTD,3609
HYUNDAI MOTOR INDIA LTD,3595
KINETIC GREEN ENERGY P SOL LTD,3573
NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,3498
AVON CYCLES LTD,3460
IVOOMI INNOVATION PVT LTD,3449
MINI METRO,3391
GREENWHEELS AUTOMOBILE PVT LTD,3365
ARCHIT ENTERPRISES,3266
DIVYA ENTERPRISES,3242
VRINDA ENTERPRISES,3168
ELITE AUTO ENGINEERS PVT LTD,3153
AMO MOBILITY SOLUTIONS PVT LTD,3151
MAC AUTO INDIA,3087
RUTBA PRODUCT PVT LTD,3072
PARI METRO E RICKSHAW,3068
DUKE AUTO INDIA,3001
RGM BUSINESS PLUS PVT LTD,2970
A K GUPTA & CO.,2965
AMPERE VEHICLES PVT LTD,2947
PCA AUTOMOBILES INDIA PVT LTD,2866
ECO SMART VEHICLES PVT LTD,2855
TORK MOTORS PVT LTD,2840
SUPER METRO INDUSTRIES,2837
APSARA ENTERPRISE,2827
KUKU AUTOMOTIVES,2812
UNITED TRANSMOVERS PVT LTD,2791
RAYON ENGINEERS,2782
JS MOBILEON PVT LTD,2729
AAHANA COMMERCE PVT LTD,2684
VENUS AUTO WHEELS PVT LTD,2635
BABA E-VEHICLES,2629
SHAKTI AUTO GREEN,2602
ELECTROTHERM (INDIA) LIMITED,2534
GREEN IMPEX,2520
JITENDRA TEMPO PARTS,2492
JMT VEHICLES PVT LTD,2460
SKYRIDE AUTOMOTIVE,2434
ACCRETION POWER AUTOS,2430
BAJAJ IMPLEMENTS PVT. LTD,2406
VIMAL UNIVERSAL TRADE PVT LTD,2403
SHRI NAMO ELECTRIC AUTOMOTIVE,2326
TUFAN MOTORS PVT LTD,2321
SETH INDUSTRIAL CORPORATION,2312
ENTICE IMPEX PVT LTD,2259
APM AUTO SALES,2257
ELECTROTHERM (I) LIMITED,2240
ARNA ELECTRIC AUTO PVT LTD,2236
SUPERECO AUTOMOTIVE CO,2202
