State,operational_charging_points
Maharashtra,3079
Delhi,1886
Karnataka,1041
Kerala,852
Tamil Nadu,643
Uttar Pradesh,582
Rajasthan,500
Telangana,481
Gujarat,476
Haryana,377
Madhya Pradesh,341
Andhra Pradesh,327
West Bengal,318
Odisha,198
Punjab,158
Chhattisgarh,149
Jharkhand,135
Bihar,124
Goa,113
Assam,86
Uttarakhand,76
Jammu and Kashmir,47
Himachal Pradesh,44
Pondicherry,23
Meghalaya,21
Tripura,18
Manipur,17
Chandigarh,12
Arunachal Pradesh,9
Nagaland,6
Andaman & Nicobar,3
Sikkim,2
D&D and DNH,1
Lakshadweep,1
