Maker,sales_2023,sales_2024,growth_percent
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,1,165,16400.0
SKYY RIDER ELECTRIC PRIVATE LIMITED,1,143,14200.0
SUPER POWER MOTORS,2,107,5250.0
WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),1,45,4400.0
GREENFIT INDUSTRIES LLP,4,168,4100.0
UNIQUE AUTO ELECTRIC,26,874,3261.54
NAMAH INDUSTRIES PVT LTD,5,153,2960.0
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),1,27,2600.0
YAARI AUTOMOBILES PVT LTD,3,79,2533.33
SAKSHAM TRADING COMPANY,4,97,2325.0
B24 ROKET EV,28,663,2267.86
EVCO AUTOMOBILES PVT LTD,14,327,2235.71
WARIVO MOTOR INDIA PVT LTD,1,23,2200.0
RAVI METAL WORKS,20,452,2160.0
PLAUDIT TECHNO INDIA PVT LTD,18,360,1900.0
OM INDUSTRIES,44,768,1645.45
ROANSOME MOTORS,4,65,1525.0
WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),4,63,1475.0
RIVER MOBILITY PVT LTD,92,1134,1132.61
SUNANDA GREENTECH PVT LTD,11,112,918.18
DSR EV MOBILITY PVT LTD,3,27,800.0
SIMPLEENERGY PVT LTD,65,568,773.85
HANUMAN UDYOG,8,68,750.0
VEERA VAHANA UDYOG PRIVATE LIMITED,1,8,700.0
PRAJJWAL MAHAJAN TRADERS,13,99,661.54
AKG INTERNATIONAL,138,1048,659.42
G. M. VEHICLE INDUSTRIES,3,22,633.33
CARREE YUNUS VEHICLE PVT LTD,3,22,633.33
GREENTECH AUTO LLP,1,7,600.0
DEVAM ELECTRIC VEHICLES PVT LTD,12,83,591.67
ENIGMA AUTOMOBILES PVT LTD,2,13,550.0
G.K E-VEHICLS INDUSTRIES PVT LTD,74,479,547.3
GOGORO INDIA PVT LTD,18,115,538.89
M K BROTHERS,2,12,500.0
YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),2,11,450.0
WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),4,22,450.0
WUXI SAIGE (IMPORTER: NGAGE IMPEX),2,11,450.0
BAXY LTD,271,1481,446.49
M/S VISHNU CLEAN ENERGY VEHICLES LLP,7,38,442.86
ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,11,55,400.0
JIANGSU AIMA (IMPORTER: FUTURE EV),8,40,400.0
VE COMMERCIAL VEHICLES LTD,6,27,350.0
RAMA INDUSTRIES,4,18,350.0
OBEN ELECTRIC VEHICLES PVT LTD,50,217,334.0
S S GLOBAL,6,26,333.33
SAMEER ENGINEERING,5,21,320.0
GREEN EVOLVE PVT LTD,42,172,309.52
SEEKA E MOTORS PVT LTD,3,12,300.0
ALL TERRAIN CRANE,5,20,300.0
ABZO MOTORS PVT LTD,12,48,300.0
AMAN AUTOMOBILES,14,55,292.86
VAHAK FUTURE SOLUTIONS LLP,23,89,286.96
POOSHPAK AUTOMOBILES PVT LTD,65,249,283.08
ROWWET MOBILITY PVT LTD,68,260,282.35
WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),2,7,250.0
SUNSHINE TECHNOLOGIES,2,7,250.0
RP MOTORS,32,107,234.38
CART INDIA,109,357,227.52
ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),1,3,200.0
BALAJI TRADING COMPANY,7,21,200.0
MAHINDRA LAST MILE MOBILITY LTD,11773,34761,195.26
S B TRADERS,29,83,186.21
E-SPRINTO GREEN ENERGY PVT LTD,116,331,185.34
ASHMA-MOTORS PVT LTD,294,828,181.63
SIX SENSES AUTOMOTIVE PVT LTD,12,33,175.0
NARAINDASS AND SONS,4,11,175.0
DELTEK ENTERPRISES PVT LTD,8,21,162.5
MANIRAM ELECTRIC VEHICLE PVT LTD,299,766,156.19
PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,40,99,147.5
TI CLEAN MOBILITY PVT LTD,1273,3139,146.58
ATUL GREENTECH PRIVATE LIMITED,127,308,142.52
PRAGYA AUTOMOBILE PVT LTD,33,79,139.39
LUCKY INDUSTRIES,38,88,131.58
SHAILENDRA AUTOS PVT LTD,40,91,127.5
MLR AUTO LTD,70,156,122.86
ALLENTTI MOTORS PVT LTD,59,131,122.03
DONGMA VEHICLE (IMPORTER: MERCURY METALS),11,24,118.18
WUXI TENGHUI (IMPORTER: FLYCON MOTORS),72,157,118.06
3S INDUSTRIES PRIVATE LIMITED,266,578,117.29
SHUBHAM MANUFACTURER,6,13,116.67
TRINITY ELECTRIC VEHICLES PVT LTD,57,120,110.53
QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),10,21,110.0
TARA MAA MACHINERY,26,54,107.69
HUNDA EV PVT LTD,125,255,104.0
AMAN ELECTRIC VEHICLES,162,327,101.85
VIJEX STEEL FABRICATION,11,22,100.0
RASIWASIA RASAYAN PVT LTD,2,4,100.0
HBSS E MOBILITY PVT LTD,8,16,100.0
HARSHVIE INDUSTRIES PVT LTD,2,4,100.0
GOBIND INDUSTRIES PVT LTD,5,10,100.0
SIRF INDIA VEHICLES PVT LTD,27,53,96.3
HONGKONG YIXING (IMPORTER: ADMS MARKETING),84,163,94.05
YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),36,67,86.11
YOUYAKU ELECTRIC (IMPORTER:ONZO EV),20,37,85.0
PRESTANTIA CREATIONS PVT LTD,6,11,83.33
SOKUDO ELECTRIC INDIA PVT LTD,132,232,75.76
HERO MOTOCORP LTD,11142,19479,74.82
SAGAR FABRICATIONS,10,17,70.0
PUNJAB BODY BUILDERS,22,37,68.18
KETO MOTORS PVT LTD,224,364,62.5
E-GURU AUTO ENERGY,125,202,61.6
JIANGSU JINPENG (IMPORTER: KKL HITECH EV),10,16,60.0
MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),19,30,57.89
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,207,326,57.49
YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),61,96,57.38
BIG BULL TRADER PVT LTD,673,1041,54.68
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),11,17,54.55
TATA MOTORS LTD,2041,3082,51.0
MAA KALPANA ENTERPRISE,153,230,50.33
OCULUS AUTO INDUSTRIES LLP,2,3,50.0
ASHA IMPEX,86,126,46.51
MILLENNIAL MOTORS LLP,7,10,42.86
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),7,10,42.86
PYTHOX MOTORS PVT LTD,338,462,36.69
EVAGE AUTOMOTIVE PVT LTD,44,60,36.36
ADIDEV TECHNOA PVT LTD,689,927,34.54
QUANTUM ENERGY LTD.,2373,3178,33.92
TRUZ INDUSTRIES,3,4,33.33
YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),82,109,32.93
GAGAN AUTOMOTIVES,383,508,32.64
VISHWAKARMA GNG INDUSTRY,123,162,31.71
SN SOLAR ENERGY,187,244,30.48
AAHANA COMMERCE PVT LTD,918,1194,30.07
MARKUS,27,35,29.63
KGN INDUSTRIES,405,522,28.89
JMT VEHICLES PVT LTD,1077,1383,28.41
SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,175,223,27.43
OMEGA SEIKI PVT LTD,3681,4653,26.41
YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),80,101,26.25
SHINE METAL UDYOG PVT LTD (UNIT- II),110,138,25.45
THE COMMERCIAL MOTORS PVT LTD,8,10,25.0
GODAWARI ELECTRIC MOTORS PVT LTD,273,339,24.18
PINNACLE MOBILITY SOLUTIONS PVT LTD,22,27,22.73
MECPOWER MOBILITY PVT. LTD.,128,154,20.31
NEUON MOTORS LLP,45,54,20.0
YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),11,13,18.18
BAJAJ AUTO LTD,76514,90160,17.83
KERALA AUTOMOBILES LIMITED,74,87,17.57
ADM TECHNOLOGIES PVT. LTD.,129,151,17.05
DEEP DRAWN TECHNOLOGIES,12,14,16.67
ELECTRA INTERNATIONAL,7,8,14.29
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),135,154,14.07
WUXI SAIGE (IMPORTER: ELECTRO-TECH),8,9,12.5
PRABHA AUTOMOTIVE ENGINEERS PVT LTD,8,9,12.5
JIANGSU DALONG (IMPORTER: SABOO TOR),22,24,9.09
YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),218,232,6.42
WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),17,18,5.88
HARSH TRADING CO,34,36,5.88
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),22,23,4.55
WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6910,7186,3.99
ENTICE IMPEX PVT LTD,587,599,2.04
MANMOHAN KAUR,64,65,1.56
ZEOPLUS AXIS INDIA PVT. LTD.,3563,3578,0.42
WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),12,12,0.0
WOX COOLERS PVT LTD,2,2,0.0
SCOOTERS INDIA LTD,1,1,0.0
PRAKASH ENTERPRISES,65,65,0.0
MICROAUTOTECH PVT. LTD.,2,2,0.0
MAULIRAJ INDUSTRIES LLP,1,1,0.0
MAC INTERNATIONAL (IMPORTER:HONESTY),1,1,0.0
GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,1,0.0
RASANDIK ENGINEERING INDUSTRIES INDIA LTD,152,150,-1.32
MERCEDES -BENZ AG,322,316,-1.86
RANA ENGINEER WORKS,575,564,-1.91
ENGINIA VEHICLES PVT LTD,188,184,-2.13
WELKIN HEALTHCARE PVT LTD,30,29,-3.33
GREEN SHUTTLE TECHNOLOGY PVT LTD,28,27,-3.57
MALAK TECHNO PVT LTD,52,50,-3.85
KIRAN AUTOMOBILE INDUSTRY,81,77,-4.94
VINCI INDUSTRIAL CORPORATION,39,37,-5.13
APSARA ENTERPRISE,725,685,-5.52
BAL GOPAL WHEELS PVT LTD,105,99,-5.71
EBUZZ MOBILITY LLP,17,16,-5.88
SMART ELECTRO MOTORS,47,44,-6.38
BGAUSS AUTO PRIVATE LIMITED,11454,10711,-6.49
TATA PASSENGER ELECTRIC MOBILITY LTD,38580,35830,-7.13
ZENIAK INNOVATION INDIA LTD,2836,2626,-7.4
AUTOECO GREEN ENERGY PVT LTD,578,524,-9.34
SINGH AUTOMOBILES,359,322,-10.31
DHAR IN PVT LTD,29,26,-10.34
GREEN TECHNOLOGIES,221,198,-10.41
SAHNIANAND E VEHICLES PVT LTD,5788,5074,-12.34
ERISHA E MOBILITY PVT LTD,56,49,-12.5
INDIA SAFE ENTERPRISE,276,241,-12.68
RCJ AUTO FORGE PVT LTD,609,530,-12.97
SUNARIYA MOTORS PVT LTD,36,31,-13.89
ZENTHIUM EV PVT LTD,718,612,-14.76
ADITYA SAI INDUSTRIES,179,152,-15.08
VIMAL UNIVERSAL TRADE PVT LTD,831,704,-15.28
RAYON ENGINEERS,1176,990,-15.82
BESTWAY BANARASH,12,10,-16.67
KRISHNA ENGINEERING WORKS,904,748,-17.26
SURYA INTERNATIONAL,16,13,-18.75
EULER MOTORS PVT LTD,2598,2106,-18.94
JAJODIA COMMODITIES PVT LTD,950,770,-18.95
SSEV ENTERPRISES PRIVATE LIMITED,767,620,-19.17
SWARNCHAKRA AUTOMOBILES PVT LTD,5,4,-20.0
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,2650,2110,-20.38
OLA ELECTRIC TECHNOLOGIES PVT LTD,267355,211273,-20.98
SHRI BARSANA E-VEHICLES PVT LTD,4088,3224,-21.14
VIJAYSHREE AUTOCOM LIMITED,181,142,-21.55
VRINDA ENTERPRISES,1080,847,-21.57
HOP ELECTRIC MOBILITY PVT LTD,209,163,-22.01
ELITE AUTO ENGINEERS PVT LTD,1200,934,-22.17
MOVE STONE SERVICES PVT LTD,2965,2297,-22.53
HOVEL CYLINDER PVT LTD,62,48,-22.58
SETH INDUSTRIAL CORPORATION,911,700,-23.16
BALAN ENGINEERING PVT LTD,146,112,-23.29
TSM ENGINEERING PVT LTD,296,227,-23.31
SHIV OM INDIA,197,151,-23.35
SATHI MOTORS ELECTRIC VEHICLE PVT LTD,2831,2169,-23.38
GREAVES ELECTRIC MOBILITY PVT LTD,24045,18424,-23.38
EXTRA FAST SOLUTIONS,614,470,-23.45
BHADAURIA ENTERPRISES,106,81,-23.58
INVVIGORS INDIA,96,73,-23.96
MG MOTOR INDIA PVT LTD,9520,7229,-24.07
BHM INDUSTRIES,1814,1377,-24.09
MAHTAB BODY MAKER,778,590,-24.16
SUPROVA ENTERPRISE,4,3,-25.0
SHAMMI ELECTRONICS,28,21,-25.0
PUBANG ETRON ELECTRIC MOTOR PVT LTD,16,12,-25.0
BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),4,3,-25.0
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,12428,9301,-25.16
HOOGHLY MOTORS PVT LTD,3741,2783,-25.61
ECO DYNAAMIC EQUIPMENTS,74,55,-25.68
SGLLINE MOTORS PVT LTD,31,23,-25.81
AVL ELECTRIC VEHICLES PVT LTD,2632,1951,-25.87
LAWAT MOTORS LLP,358,264,-26.26
KALPVRIKSH ELECTOMOBILES CO,288,211,-26.74
ELEPHANTA INDUSTRIES PVT LTD,11,8,-27.27
ARCHIT ENTERPRISES,1077,777,-27.86
U.P. TELELINKS LIMITED,2440,1760,-27.87
MOHAN GENERAL TRADING COMPANY,43,31,-27.91
ALTIER ELECTRIC VEHICLES PVT LTD,2518,1804,-28.36
ANJALI TRADERS,74,53,-28.38
ATUL AUTO LTD,5507,3938,-28.49
JS MOBILEON PVT LTD,950,678,-28.63
UNITED TRANSMOVERS PVT LTD,272,194,-28.68
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),52,37,-28.85
MAC AUTO INDIA,564,401,-28.9
MANITA CITY MOTORS LLP,1810,1280,-29.28
REEP INDUSTRIES PVT LTD,1083,759,-29.92
LAKSHYA AUTO SALES CORPORATION,240,168,-30.0
AUDI AG,143,100,-30.07
FIVE ELEMENTS,119,83,-30.25
BYD INDIA PRIVATE LIMITED,2012,1401,-30.37
SUPERTECH EV LIMITED,2020,1391,-31.14
INDIAN MOTORS,2035,1399,-31.25
SEN AND PANDIT VOLTAGE CONTROL PVT LTD,54,37,-31.48
T U K INDUSTRIES,2845,1948,-31.53
ATUT SANGAM,2335,1593,-31.78
KAPTECH INDIA PVT LTD,1846,1242,-32.72
DE EUSI MOTORS PVT LTD.,1563,1048,-32.95
VITAN JAGADA AUTOMOBILE PVT LTD,3,2,-33.33
JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),3,2,-33.33
HOMFEEL VEGH AUTOMOBILES PVT LTD,6,4,-33.33
GRINDIA G MOTORS PVT LTD,3,2,-33.33
REVOLT INTELLICORP PVT LTD,6976,4650,-33.34
CHAUHAN AUTO INDUSTRIES,571,380,-33.45
OMEGA SALES & AGRO INDUSTRIES,283,188,-33.57
SHAKTI AUTO GREEN,787,522,-33.67
SYNDICATE AUTO COMPONENTS,77,51,-33.77
WUXI SAIGE (IMPORTER: WARIVO MOTOR),426,282,-33.8
KHALSA E-VEHICLES PVT LTD,8478,5591,-34.05
DYS IMPEX PRIVATE LIMITED,751,495,-34.09
ECO SMART VEHICLES PVT LTD,1245,816,-34.46
CHEHAK BATTERIES,290,190,-34.48
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,165,108,-34.55
OK PLAY INDIA LTD,125,81,-35.2
RUTBA PRODUCT PVT LTD,629,405,-35.61
VIJAYS COOLMAX PRIVATE LIMITED,4807,3091,-35.7
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),61,39,-36.07
A K GUPTA & CO.,563,355,-36.94
GOPAL AUTO MOTORS PVT LTD,1494,939,-37.15
BAGHWAN RIKSHAW UDYOG,40,25,-37.5
NHD MOTORS,326,202,-38.04
ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),13,8,-38.46
SHRI NAMO ELECTRIC AUTOMOTIVE,645,395,-38.76
MARUTHISAN PVT LTD,147,90,-38.78
ENERGY ELECTRIC VEHICLES,11080,6782,-38.79
PIAGGIO VEHICLES PVT LTD,21089,12877,-38.94
BAJAJ IMPLEMENTS PVT. LTD,947,575,-39.28
REPUBLIC MOTORS,237,143,-39.66
WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),278,167,-39.93
SHINME ELECTRICAL VEHICLE PVT LTD,120,72,-40.0
WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),182,109,-40.11
M.K. ENTERPRISES,1097,657,-40.11
GRD MOTORS,3411,2043,-40.11
DASHMESH TRADERS,122,73,-40.16
UNIQUE INTERNATIONAL,13575,8121,-40.18
K T ENTERPRISES,156,93,-40.38
UNIQUE ENTERPRISES,3580,2132,-40.45
UMA MOTORS,211,125,-40.76
TVS MOTOR COMPANY LTD,166677,98615,-40.83
ALLFINE INDUSTRIES PVT LTD,10751,6317,-41.24
URWASHI ENTERPRISES,355,208,-41.41
TORK MOTORS PVT LTD,1589,931,-41.41
YC ELECTRIC VEHICLE,40796,23892,-41.44
VANI ELECTRIC VEHICLES PVT LTD,7832,4577,-41.56
SHALYA AUTO SALES PVT LTD,617,360,-41.65
EVBHARAT RANGE PRIVATE LIMITED,31,18,-41.94
