Maker,total_sales,market_share_percent
OLA ELECTRIC TECHNOLOGIES PVT LTD,588266,13.31
TVS MOTOR COMPANY LTD,318445,7.2
ATHER ENERGY PVT LTD,236387,5.35
HERO ELECTRIC VEHICLES PVT. LTD,201785,4.56
BAJAJ AUTO LTD,198498,4.49
OKINAWA AUTOTECH PVT LTD,196182,4.44
YC ELECTRIC VEHICLE,152951,3.46
AMPERE VEHICLES PRIVATE LIMITED,141805,3.21
SAERA ELECTRIC AUTO PVT LTD,87481,1.98
MAHINDRA & MAHINDRA LIMITED,84794,1.92
TATA PASSENGER ELECTRIC MOBILITY LTD,74410,1.68
DILLI ELECTRIC AUTO PVT LTD,69966,1.58
OTHERS,68108,1.54
CHAMPION POLY PLAST,53493,1.21
TATA MOTORS PASSENGER VEHICLES LTD,52520,1.19
MAHINDRA LAST MILE MOBILITY LTD,46534,1.05
MINI METRO EV L.L.P,44250,1.0
PIAGGIO VEHICLES PVT LTD,43783,0.99
GREAVES ELECTRIC MOBILITY PVT LTD,42879,0.97
UNIQUE INTERNATIONAL,41615,0.94
PUR ENERGY PVT LTD,37051,0.84
J. S. AUTO (P) LTD,36707,0.83
ENERGY ELECTRIC VEHICLES,35821,0.81
TERRA MOTORS INDIA PVT LTD,34887,0.79
MAHINDRA ELECTRIC MOBILITY LIMITED,34807,0.79
REVOLT INTELLICORP PVT LTD,33818,0.76
THUKRAL ELECTRIC BIKES PVT LTD,32845,0.74
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,32106,0.73
HERO MOTOCORP LTD,31489,0.71
BEST WAY AGENCIES PVT LTD,30985,0.7
VANI ELECTRIC VEHICLES PVT LTD,30809,0.7
ALLFINE INDUSTRIES PVT LTD,29243,0.66
OKAYA EV PVT LTD,29116,0.66
HOTAGE INDIA,28893,0.65
LECTRIX EV PVT LTD,27821,0.63
SKS TRADE INDIA PVT LTD,27494,0.62
BGAUSS AUTO PRIVATE LIMITED,24148,0.55
MG MOTOR INDIA PVT LTD,23343,0.53
KHALSA E-VEHICLES PVT LTD,22263,0.5
G.K. RICKSHAW,22111,0.5
BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,21862,0.49
TATA MOTORS LTD,20504,0.46
M/S SHRIRAM AUTO TECH PVT LTD,15910,0.36
SPEEGO VEHICLES CO PVT LTD,15773,0.36
VICTORY ELECTRIC INTERNATIONAL,15735,0.36
MAA SHAKTI EXIM PVT LTD,15717,0.36
JITENDRA NEW EV-TECH PVT. LTD,15543,0.35
ATUL AUTO LTD,14988,0.34
HOOGHLY MOTORS PVT LTD,14893,0.34
OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,14595,0.33
WARDWIZARD INNOVATIONS & MOBILITY LIMITED,14410,0.33
BRIGHT AUTOZONE PVT LTD,13443,0.3
DAKSH INDUSTRIES,13176,0.3
GRD MOTORS,12499,0.28
ZENIAK INNOVATION INDIA LTD,12261,0.28
SAHNIANAND E VEHICLES PVT LTD,11995,0.27
OMEGA SEIKI PVT LTD,11614,0.26
SHRI BARSANA E-VEHICLES PVT LTD,11364,0.26
ARROW AUTOMOTIVE,11228,0.25
KLB KOMAKI PVT LTD,11168,0.25
GOREEN E-MOBILITY PVT LTD,10839,0.25
TWO FRIENDS AUTO ELECTRIC CO,10431,0.24
N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,10355,0.23
BOUNCE ELECTRIC 1 PVT LTD,9677,0.22
U.P. TELELINKS LIMITED,9309,0.21
VIJAYS COOLMAX PRIVATE LIMITED,9279,0.21
UNIQUE ENTERPRISES,8834,0.2
HERO ELECTRIC VEHICLE PVT LTD,8338,0.19
AVL ELECTRIC VEHICLES PVT LTD,8309,0.19
DELTA AUTOCORP LLP,8139,0.18
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,7948,0.18
TOP TEAM MACHINES PVT LTD,7840,0.18
